InvoiceItemType_description,InvoiceItemType_hasTable,InvoiceItemType_invoiceItemTypeId,InvoiceItemType_parentTypeId
Invoice Adjustment,N,INVOICE_ADJ,
Invoice Header Adjustment,N,INVOICE_HEAD_ADJ,INVOICE_ADJ
Invoice Item Adjustment,N,INVOICE_ITM_ADJ,INVOICE_ADJ
Customer Return Adjustment,N,CRETURN_ADJ,INVOICE_ADJ
Supplier Return Adjustment,N,SRETURN_ADJ,INVOICE_ADJ
Invoice Product Item,N,INV_PROD_ITEM,
Invoice Service Product Item,N,INV_SPROD_ITEM,INV_PROD_ITEM
Invoice Work-Effort Item,N,INV_WE_ITEM,
Invoice Time-Entry Item,N,INV_TE_ITEM,
Return Work-Effort Item,N,CRT_WE_ITEM,
Return Time-Entry Item,N,CRT_TE_ITEM,
Commission Invoice Line Item,N,COMM_INV_ITEM,
Commission Invoice Adjustment,N,COMM_INV_ADJ,INVOICE_ADJ
Payrol,N,PAYROL,
Earnings and Hours,N,PAYROL_EARN_HOURS,PAYROL
Hourly Rate,N,PAYROL_HRLY_RATE,PAYROL_EARN_HOURS
Salary,N,PAYROL_SALARY,PAYROL_EARN_HOURS
Vacation Salary,N,PAYROL_SALARY_VAC,PAYROL_EARN_HOURS
Sick Salary,N,PAYROL_SALARY_SICK,PAYROL_EARN_HOURS
Bonus,N,PAYROL_BONUS,PAYROL_EARN_HOURS
Commission,N,PAYROL_COMMISSION,PAYROL_EARN_HOURS
Advance Pay,N,PAYROL_ADV_PAY,PAYROL_EARN_HOURS
Mileage Reimboursement,N,PAYROL_MIL_REIMB,PAYROL_EARN_HOURS
Office Exp. reimboursement,N,PAYROL_OFF_EXP_REIMB,PAYROL_EARN_HOURS
Pay Period adj(over pay),N,PAYROL_PAYPER_OVRPAY,PAYROL_EARN_HOURS
Deductions from Gross,N,PAYROL_DD_FROM_GROSS,PAYROL
125*Compy. Contr Other Prem.,N,PAYROL_DD_125COMPY,PAYROL_DD_FROM_GROSS
125*PPO (pre tax),N,PAYROL_DD_125PPO,PAYROL_DD_FROM_GROSS
125*HSA Contribution (pre tax),N,PAYROL_DD_125HSA,PAYROL_DD_FROM_GROSS
401K Emp.,N,PAYROL_DD_401K,PAYROL_DD_FROM_GROSS
Advance Repayment,N,PAYROL_DD_REPAY,PAYROL_DD_FROM_GROSS
Charity Donation,N,PAYROL_DD_CHAR_DONAT,PAYROL_DD_FROM_GROSS
Child Support Garnishment,N,PAYROL_DD_CHILD_SUPP,PAYROL_DD_FROM_GROSS
Miscellaneous Deduction,N,PAYROL_DD_MISC,PAYROL_DD_FROM_GROSS
Roth 401k Emp.,N,PAYROL_DD_ROTH_401K,PAYROL_DD_FROM_GROSS
Simple IRA emp.,N,PAYROL_DD_SIMP_IRA,PAYROL_DD_FROM_GROSS
Union Dues,N,PAYROL_DD_UNION,PAYROL_DD_FROM_GROSS
Unpaid Salary Time off.,N,PAYROL_DD_SAL_TIMOFF,PAYROL_DD_FROM_GROSS
Wage Garnishment,N,PAYROL_DD_WAG_GARN,PAYROL_DD_FROM_GROSS
Taxes,N,PAYROL_TAXES,PAYROL
Federal Witholding,N,PAYROL_TAX_FEDERAL,PAYROL_TAXES
Social Security Employee,N,PAYROL_SOC_SEC_EMPL,PAYROL_TAXES
Medicare Employee,N,PAYROL_TAX_MED_EMPL,PAYROL_TAXES
MD Withholding,N,PAYROL_TAX_MD_WITHOL,PAYROL_TAXES
