StatusValidChange_statusId,StatusValidChange_statusIdTo,StatusValidChange_transitionName
FNACT_ACTIVE,FNACT_NEGPENDREPL,Set Negative Pending Replenishment
FNACT_ACTIVE,FNACT_MANFROZEN,Set Manually Frozen
FNACT_ACTIVE,FNACT_CANCELLED,Cancel
FNACT_NEGPENDREPL,FNACT_ACTIVE,Re-activate
FNACT_NEGPENDREPL,FNACT_MANFROZEN,Manually Freeze
FNACT_NEGPENDREPL,FNACT_CANCELLED,Cancel
FNACT_MANFROZEN,FNACT_ACTIVE,Re-activate
FNACT_MANFROZEN,FNACT_CANCELLED,Cancel
FINACT_TRNS_CREATED,FINACT_TRNS_APPROVED,Set Created to Approved
FINACT_TRNS_CREATED,FINACT_TRNS_CANCELED,Set Created to Canceled
FINACT_TRNS_APPROVED,FINACT_TRNS_CANCELED,Set Approved to Canceled
INVOICE_IN_PROCESS,INVOICE_CANCELLED,Cancel
INVOICE_IN_PROCESS,INVOICE_RECEIVED,Receive
INVOICE_SENT,INVOICE_RECEIVED,Receive
INVOICE_SENT,INVOICE_CANCELLED,Cancel
INVOICE_RECEIVED,INVOICE_CANCELLED,Cancel
INVOICE_IN_PROCESS,INVOICE_APPROVED,Approve
INVOICE_APPROVED,INVOICE_SENT,Send
INVOICE_IN_PROCESS,INVOICE_RECEIVED,Receive
INVOICE_RECEIVED,INVOICE_APPROVED,Approve
INVOICE_PAID,INVOICE_CANCELLED,Cancel
PMNT_NOT_PAID,PMNT_SENT,Payment Send
PMNT_NOT_PAID,PMNT_RECEIVED,Payment Received
PMNT_NOT_PAID,PMNT_CANCELLED,Payment Cancelled
PMNT_SENT,PMNT_CONFIRMED,Payment Confirmed
PMNT_RECEIVED,PMNT_CONFIRMED,Payment Confirmed
PMNT_SENT,PMNT_VOID,Payment Voided
PMNT_RECEIVED,PMNT_VOID,Payment Voided
PMNT_NOT_PAID,PMNT_VOID,Payment Voided
PMNT_SENT,PMNT_NOT_PAID,Payment Not Paid
PMNT_RECEIVED,PMNT_NOT_PAID,Payment Not Paid
GLREC_CREATED,GLREC_RECONCILED,Set Created to Reconciled
